id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335982,1,12,1,RT Ponting,BB McCullum,JH Kallis,0,0,0,0,1,caught,RT Ponting,P Kumar,,KKR,RCB
335982,1,17,1,DJ Hussey,BB McCullum,AA Noffke,0,0,0,0,1,caught,DJ Hussey,CL White,,KKR,RCB
335982,1,5,2,SC Ganguly,BB McCullum,Z Khan,0,0,0,0,1,caught,SC Ganguly,JH Kallis,,KKR,RCB
335982,2,7,5,MV Boucher,CL White,SC Ganguly,0,0,0,0,1,caught,MV Boucher,M Kartik,,RCB,KKR
335982,2,8,2,B Akhil,CL White,AB Agarkar,0,0,0,0,1,caught,B Akhil,RT Ponting,,RCB,KKR
335982,2,8,8,CL White,AA Noffke,AB Agarkar,0,0,0,0,1,caught,CL White,WP Saha,,RCB,KKR
335982,2,11,1,AA Noffke,P Kumar,SC Ganguly,1,0,1,0,1,run out,AA Noffke,"AB Agarkar,WP Saha",,RCB,KKR
335982,2,15,2,SB Joshi,P Kumar,LR Shukla,0,0,0,0,1,caught,SB Joshi,BB McCullum,,RCB,KKR
335982,2,4,5,JH Kallis,W Jaffer,AB Agarkar,0,0,0,0,1,caught,JH Kallis,M Kartik,,RCB,KKR
335982,2,5,2,W Jaffer,CL White,AB Dinda,0,0,0,0,1,caught,W Jaffer,RT Ponting,,RCB,KKR
335983,1,12,2,SK Raina,MEK Hussey,WA Mota,0,0,0,0,1,caught,SK Raina,IK Pathan,,CSK,KXIP
335983,1,2,5,PA Patel,ML Hayden,B Lee,0,0,0,0,1,caught,PA Patel,KC Sangakkara,,CSK,KXIP
335983,2,10,2,JR Hopes,KC Sangakkara,P Amarnath,0,0,0,0,1,caught,JR Hopes,Joginder Sharma,,KXIP,CSK
335983,2,14,2,Yuvraj Singh,KC Sangakkara,Joginder Sharma,0,0,0,0,1,caught,Yuvraj Singh,P Amarnath,,KXIP,CSK
335983,2,17,4,KC Sangakkara,SM Katich,M Muralitharan,0,0,0,0,1,caught,KC Sangakkara,Joginder Sharma,,KXIP,CSK
335983,2,5,6,K Goel,JR Hopes,MS Gony,0,0,0,0,1,caught,K Goel,PA Patel,,KXIP,CSK
335984,1,2,3,T Kohli,YK Pathan,GD McGrath,0,0,0,0,1,caught,T Kohli,M Manhas,,RR,DD
335984,1,10,3,M Kaif,RA Jadeja,R Bhatia,0,0,0,0,1,caught,M Kaif,B Geeves,,RR,DD
335985,1,1,5,L Ronchi,ST Jayasuriya,Z Khan,0,0,0,0,1,caught,L Ronchi,V Kohli,,MI,RCB
335985,1,5,4,ST Jayasuriya,RV Uthappa,Z Khan,0,0,0,0,1,run out,ST Jayasuriya,Z Khan,,MI,RCB
335985,1,13,3,PR Shah,RV Uthappa,B Akhil,0,0,0,0,1,caught,PR Shah,V Kohli,,MI,RCB
335985,1,16,5,RV Uthappa,AM Nayar,B Akhil,0,0,0,0,1,stumped,RV Uthappa,MV Boucher,,MI,RCB
335985,1,18,5,AM Nayar,SM Pollock,P Kumar,0,0,0,0,1,caught,AM Nayar,Z Khan,,MI,RCB
335985,2,4,7,S Chanderpaul,R Dravid,DS Kulkarni,0,0,0,0,1,caught,S Chanderpaul,AM Nayar,,RCB,MI
335985,2,13,4,V Kohli,JH Kallis,A Nehra,0,0,0,0,1,caught,V Kohli,L Ronchi,,RCB,MI
335985,2,18,4,JH Kallis,MV Boucher,Harbhajan Singh,0,0,0,0,1,caught,JH Kallis,AM Nayar,,RCB,MI
335985,2,9,6,LRPL Taylor,JH Kallis,ST Jayasuriya,0,0,0,0,1,caught,LRPL Taylor,AM Nayar,,RCB,MI
335986,2,1,2,BB McCullum,WP Saha,RP Singh,0,0,0,0,1,caught,BB McCullum,RG Sharma,,KKR,SRH
335986,2,4,2,WP Saha,SC Ganguly,WPUJC Vaas,0,0,0,0,1,caught,WP Saha,SB Styris,,KKR,SRH
335986,1,14,3,AS Yadav,A Symonds,DJ Hussey,0,0,0,0,1,caught,AS Yadav,AB Dinda,,SRH,KKR
335986,1,17,4,A Symonds,SB Bangar,AB Agarkar,0,0,0,0,1,caught,A Symonds,DJ Hussey,,SRH,KKR
335986,1,17,6,WPUJC Vaas,SB Bangar,AB Agarkar,0,0,0,0,1,caught,WPUJC Vaas,SC Ganguly,,SRH,KKR
335986,1,18,3,SB Bangar,RP Singh,M Kartik,0,0,0,0,1,caught,SB Bangar,WP Saha,,SRH,KKR
335986,1,18,4,RP Singh,PP Ojha,M Kartik,0,0,0,0,1,run out,PP Ojha,"Mohammad Hafeez,WP Saha",,SRH,KKR
335986,1,3,2,Y Venugopal Rao,AC Gilchrist,I Sharma,0,0,0,0,1,caught,Y Venugopal Rao,M Kartik,,SRH,KKR
335986,1,4,3,VVS Laxman,AC Gilchrist,AB Dinda,0,0,0,0,1,caught,VVS Laxman,LR Shukla,,SRH,KKR
335986,1,8,1,AC Gilchrist,A Symonds,M Kartik,0,0,0,0,1,caught,AC Gilchrist,Mohammad Hafeez,,SRH,KKR
335986,1,8,4,RG Sharma,A Symonds,M Kartik,0,0,0,0,1,caught,RG Sharma,WP Saha,,SRH,KKR
335986,2,16,3,Mohammad Hafeez,DJ Hussey,PP Ojha,0,0,0,0,1,caught,Mohammad Hafeez,A Symonds,,KKR,SRH
335987,2,1,1,M Kaif,Kamran Akmal,S Sreesanth,0,0,0,0,1,caught,M Kaif,KC Sangakkara,,RR,KXIP
335987,2,4,5,Kamran Akmal,SR Watson,JR Hopes,0,0,0,0,1,caught,Kamran Akmal,PP Chawla,,RR,KXIP
335987,1,7,4,DPMD Jayawardene,JR Hopes,D Salunkhe,0,0,0,0,1,stumped,DPMD Jayawardene,Kamran Akmal,,KXIP,RR
335987,1,17,4,B Lee,S Sohal,SK Trivedi,0,0,0,0,1,caught,B Lee,Kamran Akmal,,KXIP,RR
335987,1,18,6,S Sohal,PP Chawla,MM Patel,1,0,1,0,1,run out,S Sohal,"RA Jadeja,Kamran Akmal",,KXIP,RR
335988,1,16,1,SB Bangar,RG Sharma,R Bhatia,0,0,0,0,1,run out,SB Bangar,"MK Tiwary,KD Karthik",,SRH,DD
335988,1,18,4,RG Sharma,AS Yadav,R Bhatia,0,0,0,0,1,caught,RG Sharma,GD McGrath,,SRH,DD
335988,1,19,2,AS Yadav,WPUJC Vaas,VY Mahesh,0,0,0,0,1,caught,AS Yadav,G Gambhir,,SRH,DD
335988,2,3,3,G Gambhir,V Sehwag,RP Singh,0,0,0,0,1,caught,G Gambhir,AC Gilchrist,,DD,SRH
335988,1,7,6,Y Venugopal Rao,A Symonds,MF Maharoof,0,0,0,0,1,caught,Y Venugopal Rao,S Dhawan,,SRH,DD
335988,1,9,3,A Symonds,RG Sharma,MF Maharoof,0,0,0,0,1,caught,A Symonds,KD Karthik,,SRH,DD
335989,1,19,5,MS Dhoni,JDP Oram,MA Khote,0,0,0,0,1,caught,MS Dhoni,DJ Bravo,,CSK,MI
335989,2,0,8,ST Jayasuriya,L Ronchi,JDP Oram,0,0,0,0,1,run out,L Ronchi,S Badrinath,,MI,CSK
335989,2,3,4,ST Jayasuriya,RV Uthappa,MS Gony,0,0,0,0,1,caught,ST Jayasuriya,Joginder Sharma,,MI,CSK
335989,1,18,7,MS Dhoni,ML Hayden,A Nehra,0,0,0,0,1,run out,ML Hayden,Harbhajan Singh,,CSK,MI
335989,1,3,1,PA Patel,ML Hayden,A Nehra,0,0,0,0,1,caught,PA Patel,L Ronchi,,CSK,MI
