id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
335982,Bangalore,18-04-2008,BB McCullum,M Chinnaswamy Stadium,0,RCB,KKR,RCB,field,KKR,runs,140,N,,Asad Rauf,RE Koertzen
335983,Chandigarh,19-04-2008,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",0,KXIP,CSK,CSK,bat,CSK,runs,33,N,,MR Benson,SL Shastri
335984,Delhi,19-04-2008,MF Maharoof,Feroz Shah Kotla,0,DD,RR,RR,bat,DD,wickets,9,N,,Aleem Dar,GA Pratapkumar
335985,Mumbai,20-04-2008,MV Boucher,Wankhede Stadium,0,MI,RCB,MI,bat,RCB,wickets,5,N,,SJ Davis,DJ Harper
335986,Kolkata,20-04-2008,DJ Hussey,Eden Gardens,0,KKR,SRH,SRH,bat,KKR,wickets,5,N,,BF Bowden,K Hariharan
335987,Jaipur,21-04-2008,SR Watson,Sawai Mansingh Stadium,0,RR,KXIP,KXIP,bat,RR,wickets,6,N,,Aleem Dar,RB Tiffin
335988,Hyderabad,22-04-2008,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",0,SRH,DD,SRH,bat,DD,wickets,9,N,,IL Howell,AM Saheba
335989,Chennai,23-04-2008,ML Hayden,"MA Chidambaram Stadium, Chepauk",0,CSK,MI,MI,field,CSK,runs,6,N,,DJ Harper,GA Pratapkumar
335990,Hyderabad,24-04-2008,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",0,SRH,RR,RR,field,RR,wickets,3,N,,Asad Rauf,MR Benson
335991,Chandigarh,25-04-2008,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,KXIP,MI,MI,field,KXIP,runs,66,N,,Aleem Dar,AM Saheba
335992,Bangalore,26-04-2008,SR Watson,M Chinnaswamy Stadium,0,RCB,RR,RR,field,RR,wickets,7,N,,MR Benson,IL Howell
335993,Chennai,26-04-2008,JDP Oram,"MA Chidambaram Stadium, Chepauk",0,CSK,KKR,KKR,bat,CSK,wickets,9,N,,BF Bowden,AV Jayaprakash
335994,Mumbai,27-04-2008,AC Gilchrist,Dr DY Patil Sports Academy,0,MI,SRH,SRH,field,SRH,wickets,10,N,,Asad Rauf,SL Shastri
335995,Chandigarh,27-04-2008,SM Katich,"Punjab Cricket Association Stadium, Mohali",0,KXIP,DD,DD,bat,KXIP,wickets,4,N,,RE Koertzen,I Shivram
335996,Bangalore,28-04-2008,MS Dhoni,M Chinnaswamy Stadium,0,RCB,CSK,CSK,bat,CSK,runs,13,N,,BR Doctrove,RB Tiffin
335997,Kolkata,29-04-2008,ST Jayasuriya,Eden Gardens,0,KKR,MI,KKR,bat,MI,wickets,7,N,,BF Bowden,AV Jayaprakash
335998,Delhi,30-04-2008,GD McGrath,Feroz Shah Kotla,0,DD,RCB,RCB,field,DD,runs,10,N,,Aleem Dar,I Shivram
335999,Hyderabad,01-05-2008,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",0,SRH,KXIP,KXIP,field,KXIP,wickets,7,N,,BR Doctrove,RB Tiffin
336000,Jaipur,01-05-2008,SA Asnodkar,Sawai Mansingh Stadium,0,RR,KKR,RR,bat,RR,runs,45,N,,RE Koertzen,GA Pratapkumar
336001,Chennai,02-05-2008,V Sehwag,"MA Chidambaram Stadium, Chepauk",0,CSK,DD,CSK,bat,DD,wickets,8,N,,BF Bowden,K Hariharan
336002,Hyderabad,25-05-2008,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",0,SRH,RCB,SRH,bat,RCB,wickets,5,N,,Asad Rauf,RE Koertzen
336003,Chandigarh,03-05-2008,IK Pathan,"Punjab Cricket Association Stadium, Mohali",0,KXIP,KKR,KXIP,bat,KXIP,runs,9,N,,DJ Harper,I Shivram
336004,Mumbai,04-05-2008,SM Pollock,Dr DY Patil Sports Academy,0,MI,DD,DD,field,MI,runs,29,N,,IL Howell,RE Koertzen
