id,city,player_of_match,motm_team,non_motm_team,team1,team2,toss_winner,toss_decision,winner,eliminator,batting_team,bowling_team,year
729279,Abu Dhabi,JH Kallis,KKR,MI,MI,KKR,KKR,bat,KKR,N,KKR,MI,2014
729283,Abu Dhabi,GJ Maxwell,KXIP,CSK,CSK,KXIP,CSK,bat,KXIP,N,KXIP,CSK,2014
729285,Abu Dhabi,AM Rahane,RR,SRH,SRH,RR,RR,field,RR,N,RR,SRH,2014
729293,Abu Dhabi,SK Raina,CSK,DC,CSK,DC,CSK,bat,CSK,N,CSK,DD,2014
729305,Abu Dhabi,PV Tambe,RR,RCB,RR,RCB,RR,field,RR,N,RCB,RR,2014
729307,Abu Dhabi,Sandeep Sharma,KXIP,KKR,KKR,KXIP,KKR,field,KXIP,N,KKR,KXIP,2014
729315,Abu Dhabi,JP Faulkner,RR,KKR,KKR,RR,RR,bat,RR,Y,RR,KKR,2014
1216492,Abu Dhabi,AT Rayudu,CSK,MI,MI,CSK,CSK,field,CSK,N,CSK,MI,2020
1216494,Abu Dhabi,Mohammed Siraj,RCB,KKR,KKR,RCB,KKR,bat,RCB,N,KKR,RCB,2020
1216497,Abu Dhabi,CV Varun,KKR,DC,KKR,DC,DC,field,KKR,N,DC,KKR,2020
1216499,Abu Dhabi,SA Yadav,MI,RCB,RCB,MI,MI,field,MI,N,MI,RCB,2020
1216501,Abu Dhabi,RA Tripathi,KKR,CSK,KKR,CSK,KKR,bat,KKR,N,KKR,CSK,2020
1216503,Abu Dhabi,KA Pollard,MI,KXIP,MI,KXIP,KXIP,field,MI,N,MI,KXIP,2020
1216505,Abu Dhabi,A Nortje,DC,RCB,RCB,DC,DC,field,DC,N,RCB,DC,2020
1216506,Abu Dhabi,RD Gaikwad,CSK,KXIP,KXIP,CSK,CSK,field,CSK,N,CSK,KXIP,2020
1216508,Abu Dhabi,RG Sharma,MI,KKR,MI,KKR,KKR,field,MI,N,MI,KKR,2020
1216511,Abu Dhabi,SA Yadav,MI,RR,MI,RR,MI,bat,MI,N,MI,RR,2020
1216512,Abu Dhabi,LH Ferguson,KKR,SRH,KKR,SRH,SRH,field,KKR,Y,SRH,KKR,2020
1216514,Abu Dhabi,YS Chahal,RCB,RR,RR,RCB,RR,bat,RCB,N,RR,RCB,2020
1216523,Abu Dhabi,KD Karthik,KKR,KXIP,KKR,KXIP,KKR,bat,KKR,N,KKR,KXIP,2020
1216526,Abu Dhabi,Q de Kock,MI,KKR,KKR,MI,KKR,bat,MI,N,MI,KKR,2020
1216529,Abu Dhabi,Q de Kock,MI,DC,DC,MI,DC,bat,MI,N,MI,DC,2020
1216532,Abu Dhabi,Rashid Khan,SRH,DC,SRH,DC,DC,field,SRH,N,DC,SRH,2020
1216533,Abu Dhabi,JC Buttler,RR,CSK,CSK,RR,CSK,bat,RR,N,RR,CSK,2020
1216537,Abu Dhabi,BA Stokes,RR,KXIP,KXIP,RR,RR,field,RR,N,KXIP,RR,2020
1216541,Abu Dhabi,BA Stokes,RR,MI,MI,RR,MI,bat,RR,N,RR,MI,2020
1216545,Abu Dhabi,Shubman Gill,KKR,SRH,SRH,KKR,SRH,bat,KKR,N,KKR,SRH,2020
1237178,Abu Dhabi,KS Williamson,SRH,RCB,RCB,SRH,SRH,field,SRH,N,SRH,RCB,2020
1237180,Abu Dhabi,MP Stoinis,DC,SRH,DC,SRH,DC,bat,DC,N,DC,SRH,2020
419111,Ahmedabad,V Sehwag,DD,RR,RR,DC,DC,field,DC,N,DD,RR,2010
419118,Ahmedabad,AA Jhunjhunwala,RR,KKR,RR,KKR,RR,bat,RR,N,RR,KKR,2010
419126,Ahmedabad,YK Pathan,RR,SRH,RR,SRH,SRH,bat,RR,N,SRH,RR,2010
419129,Ahmedabad,NV Ojha,RR,CSK,RR,CSK,RR,bat,RR,N,RR,CSK,2010
733979,Ahmedabad,PV Tambe,RR,KKR,RR,KKR,KKR,field,RR,N,KKR,RR,2014
733989,Ahmedabad,B Kumar,SRH,RR,RR,SRH,RR,field,SRH,N,RR,SRH,2014
734011,Ahmedabad,AM Rahane,RR,DC,RR,DC,DC,field,RR,N,RR,DD,2014
734017,Ahmedabad,MEK Hussey,MI,RR,RR,MI,MI,bat,MI,N,MI,RR,2014
829721,Ahmedabad,SPD Smith,RR,MI,RR,MI,MI,bat,RR,N,RR,MI,2015
829735,Ahmedabad,AM Rahane,RR,CSK,RR,CSK,CSK,bat,RR,N,RR,CSK,2015
829741,Ahmedabad,SE Marsh,KXIP,RR,RR,KXIP,KXIP,field,KXIP,Y,KXIP,RR,2015
829749,Ahmedabad,MA Starc,RCB,RR,RR,RCB,RCB,field,RCB,N,RR,RCB,2015
335982,Bangalore,BB McCullum,KKR,RCB,RCB,KKR,RCB,field,KKR,N,KKR,RCB,2008
335992,Bangalore,SR Watson,RR,RCB,RCB,RR,RR,field,RR,N,RCB,RR,2008
335996,Bangalore,MS Dhoni,CSK,RCB,RCB,CSK,CSK,bat,CSK,N,CSK,RCB,2008
336006,Bangalore,S Sreesanth,KXIP,RCB,RCB,KXIP,KXIP,field,KXIP,N,RCB,KXIP,2008
336012,Bangalore,CRD Fernando,MI,RCB,RCB,MI,MI,field,MI,N,RCB,MI,2008
336026,Bangalore,SP Goswami,RCB,DC,RCB,DC,DC,field,DC,N,RCB,DD,2008
336034,Bangalore,P Kumar,RCB,SRH,RCB,SRH,SRH,field,RCB,N,SRH,RCB,2008
419112,Bangalore,JH Kallis,RCB,KXIP,RCB,KXIP,KXIP,bat,RCB,N,RCB,KXIP,2010
419115,Bangalore,JH Kallis,RCB,RR,RCB,RR,RCB,field,RCB,N,RCB,RR,2010
419123,Bangalore,RV Uthappa,RCB,CSK,RCB,CSK,CSK,field,RCB,N,RCB,CSK,2010
419128,Bangalore,KM Jadhav,DD,RCB,RCB,DC,RCB,field,DC,N,DD,RCB,2010
419145,Bangalore,TL Suman,SRH,RCB,RCB,SRH,SRH,field,SRH,N,SRH,RCB,2010
419148,Bangalore,R Vinay Kumar,RCB,KKR,RCB,KKR,RCB,field,RCB,N,KKR,RCB,2010
419157,Bangalore,R McLaren,MI,RCB,RCB,MI,RCB,field,MI,N,RCB,MI,2010
501205,Bangalore,SR Tendulkar,MI,RCB,RCB,MI,MI,field,MI,N,MI,RCB,2011
501232,Bangalore,V Kohli,RCB,Pune,RCB,Pune,Pune,field,RCB,N,RCB,Pune,2011
501244,Bangalore,CH Gayle,RCB,KXIP,RCB,KXIP,KXIP,field,RCB,N,KXIP,RCB,2011
501247,Bangalore,CH Gayle,RCB,KTK,RCB,KTK,KTK,bat,RCB,N,RCB,KTK,2011
501255,Bangalore,CH Gayle,RCB,KKR,RCB,KKR,RCB,field,RCB,N,RCB,KKR,2011
501266,Bangalore,CH Gayle,RCB,CSK,RCB,CSK,RCB,field,RCB,N,CSK,RCB,2011
548310,Bangalore,AB de Villiers,RCB,DC,RCB,DC,DC,field,RCB,N,RCB,DD,2012
548315,Bangalore,L Balaji,KKR,RCB,RCB,KKR,RCB,field,KKR,N,RCB,KKR,2012
548324,Bangalore,AM Rahane,RR,RCB,RCB,RR,RR,bat,RR,N,RR,RCB,2012
548327,Bangalore,CH Gayle,RCB,Pune,RCB,Pune,Pune,bat,RCB,N,RCB,Pune,2012
548350,Bangalore,Azhar Mahmood,KXIP,RCB,RCB,KXIP,KXIP,field,KXIP,N,RCB,KXIP,2012
548356,Bangalore,AB de Villiers,RCB,SRH,RCB,SRH,RCB,field,RCB,N,RCB,SRH,2012
548367,Bangalore,AT Rayudu,MI,RCB,RCB,MI,MI,field,MI,N,MI,RCB,2012
548379,Bangalore,MS Dhoni,CSK,MI,CSK,MI,MI,field,CSK,N,CSK,MI,2012
597999,Bangalore,CH Gayle,RCB,MI,RCB,MI,MI,field,RCB,N,RCB,MI,2013
598008,Bangalore,CH Gayle,RCB,KKR,RCB,KKR,RCB,field,RCB,N,RCB,KKR,2013
598017,Bangalore,V Kohli,RCB,DC,RCB,DC,RCB,field,RCB,Y,RCB,DD,2013
598023,Bangalore,R Vinay Kumar,RCB,RR,RCB,RR,RCB,field,RCB,N,RR,RCB,2013
598027,Bangalore,CH Gayle,RCB,Pune,RCB,Pune,Pune,field,RCB,N,RCB,Pune,2013
598045,Bangalore,AC Gilchrist,KXIP,RCB,RCB,KXIP,KXIP,field,KXIP,N,KXIP,RCB,2013
598048,Bangalore,V Kohli,RCB,SRH,RCB,SRH,SRH,bat,RCB,N,RCB,SRH,2013
598068,Bangalore,V Kohli,RCB,CSK,RCB,CSK,CSK,field,RCB,N,RCB,CSK,2013
733977,Bangalore,AB de Villiers,RCB,SRH,RCB,SRH,RCB,field,RCB,N,RCB,SRH,2014
733991,Bangalore,Sandeep Sharma,KXIP,RCB,RCB,KXIP,RCB,field,KXIP,N,RCB,KXIP,2014
733999,Bangalore,JP Faulkner,RR,RCB,RCB,RR,RCB,bat,RR,N,RR,RCB,2014
734005,Bangalore,Yuvraj Singh,RCB,DC,RCB,DC,DC,field,RCB,N,DD,RCB,2014
734035,Bangalore,MS Dhoni,CSK,RCB,RCB,CSK,CSK,field,CSK,N,CSK,RCB,2014
734049,Bangalore,MK Pandey,KKR,KXIP,KKR,KXIP,KKR,field,KKR,N,KKR,KXIP,2014
829719,Bangalore,DA Warner,SRH,RCB,RCB,SRH,SRH,field,SRH,N,SRH,RCB,2015
829737,Bangalore,Harbhajan Singh,MI,RCB,RCB,MI,RCB,field,MI,N,RCB,MI,2015
829745,Bangalore,SK Raina,CSK,RCB,RCB,CSK,RCB,field,CSK,N,CSK,RCB,2015
829771,Bangalore,Mandeep Singh,RCB,KKR,RCB,KKR,RCB,field,RCB,N,RCB,KKR,2015
829785,Bangalore,CH Gayle,RCB,KXIP,RCB,KXIP,KXIP,field,RCB,N,RCB,KXIP,2015
980907,Bangalore,AB de Villiers,RCB,SRH,RCB,SRH,SRH,field,RCB,N,RCB,SRH,2016
980921,Bangalore,Q de Kock,DD,RCB,RCB,DC,DC,field,DC,N,DD,RCB,2016
980959,Bangalore,AD Russell,KKR,RCB,RCB,KKR,KKR,field,KKR,N,RCB,KKR,2016
980969,Bangalore,V Kohli,RCB,Pune,RCB,Pune,RCB,field,RCB,N,RCB,Pune,2016
980981,Bangalore,KH Pandya,MI,RCB,RCB,MI,MI,field,MI,N,RCB,MI,2016
980987,Bangalore,AB de Villiers,RCB,GL,RCB,GL,GL,field,RCB,N,RCB,GL,2016
980999,Bangalore,V Kohli,RCB,KXIP,RCB,KXIP,KXIP,field,RCB,N,RCB,KXIP,2016
981013,Bangalore,AB de Villiers,RCB,GL,GL,RCB,RCB,field,RCB,N,RCB,GL,2016
981019,Bangalore,BCJ Cutting,SRH,RCB,RCB,SRH,SRH,bat,SRH,N,SRH,RCB,2016
1082602,Bangalore,KA Pollard,MI,RCB,RCB,MI,MI,field,MI,N,MI,RCB,2017
1082607,Bangalore,BA Stokes,Pune,RCB,RCB,Pune,RCB,field,Pune,N,RCB,Pune,2017
1082621,Bangalore,AJ Tye,GL,RCB,RCB,GL,GL,field,GL,N,RCB,GL,2017
1082633,Bangalore,Sandeep Sharma,KXIP,RCB,RCB,KXIP,RCB,field,KXIP,N,RCB,KXIP,2017
1082636,Bangalore,SP Narine,KKR,RCB,RCB,KKR,KKR,field,KKR,N,KKR,RCB,2017
1082648,Bangalore,NM Coulter-Nile,KKR,SRH,SRH,KKR,KKR,field,KKR,N,SRH,KKR,2017
1082649,Bangalore,KV Sharma,MI,KKR,MI,KKR,MI,field,MI,N,KKR,MI,2017
1082595,Bengaluru,KM Jadhav,RCB,DC,RCB,DC,RCB,bat,RCB,N,RCB,DD,2017
