id,city,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335982,Bangalore,1,12,1,RT Ponting,BB McCullum,JH Kallis,0,0,0,0,1,caught,RT Ponting,P Kumar,,KKR,RCB
335982,Bangalore,1,17,1,DJ Hussey,BB McCullum,AA Noffke,0,0,0,0,1,caught,DJ Hussey,CL White,,KKR,RCB
335982,Bangalore,1,5,2,SC Ganguly,BB McCullum,Z Khan,0,0,0,0,1,caught,SC Ganguly,JH Kallis,,KKR,RCB
335982,Bangalore,2,7,5,MV Boucher,CL White,SC Ganguly,0,0,0,0,1,caught,MV Boucher,M Kartik,,RCB,KKR
335982,Bangalore,2,8,2,B Akhil,CL White,AB Agarkar,0,0,0,0,1,caught,B Akhil,RT Ponting,,RCB,KKR
335982,Bangalore,2,8,8,CL White,AA Noffke,AB Agarkar,0,0,0,0,1,caught,CL White,WP Saha,,RCB,KKR
335982,Bangalore,2,11,1,AA Noffke,P Kumar,SC Ganguly,1,0,1,0,1,run out,AA Noffke,"AB Agarkar,WP Saha",,RCB,KKR
335982,Bangalore,2,13,1,Z Khan,P Kumar,SC Ganguly,0,0,0,0,1,bowled,Z Khan,,,RCB,KKR
335982,Bangalore,2,15,2,SB Joshi,P Kumar,LR Shukla,0,0,0,0,1,caught,SB Joshi,BB McCullum,,RCB,KKR
335982,Bangalore,2,4,5,JH Kallis,W Jaffer,AB Agarkar,0,0,0,0,1,caught,JH Kallis,M Kartik,,RCB,KKR
335982,Bangalore,2,5,2,W Jaffer,CL White,AB Dinda,0,0,0,0,1,caught,W Jaffer,RT Ponting,,RCB,KKR
335982,Bangalore,2,1,1,R Dravid,W Jaffer,I Sharma,0,0,0,0,1,bowled,R Dravid,,,RCB,KKR
335982,Bangalore,2,2,2,V Kohli,W Jaffer,AB Dinda,0,0,0,0,1,bowled,V Kohli,,,RCB,KKR
335983,Chandigarh,1,12,2,SK Raina,MEK Hussey,WA Mota,0,0,0,0,1,caught,SK Raina,IK Pathan,,CSK,KXIP
335983,Chandigarh,1,15,3,JDP Oram,MEK Hussey,IK Pathan,0,0,0,0,1,bowled,JDP Oram,,,CSK,KXIP
335983,Chandigarh,1,2,5,PA Patel,ML Hayden,B Lee,0,0,0,0,1,caught,PA Patel,KC Sangakkara,,CSK,KXIP
335983,Chandigarh,1,6,2,ML Hayden,MEK Hussey,IK Pathan,0,0,0,0,1,bowled,ML Hayden,,,CSK,KXIP
335983,Chandigarh,1,7,1,MS Dhoni,MEK Hussey,JR Hopes,0,0,0,0,1,lbw,MS Dhoni,,,CSK,KXIP
335983,Chandigarh,2,10,2,JR Hopes,KC Sangakkara,P Amarnath,0,0,0,0,1,caught,JR Hopes,Joginder Sharma,,KXIP,CSK
335983,Chandigarh,2,14,2,Yuvraj Singh,KC Sangakkara,Joginder Sharma,0,0,0,0,1,caught,Yuvraj Singh,P Amarnath,,KXIP,CSK
