,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
32,335982,1,12,1,RT Ponting,BB McCullum,JH Kallis,0,0,0,0,1,caught,RT Ponting,P Kumar,,Kolkata Knight Riders,Royal Challengers Bangalore
64,335982,1,17,1,DJ Hussey,BB McCullum,AA Noffke,0,0,0,0,1,caught,DJ Hussey,CL White,,Kolkata Knight Riders,Royal Challengers Bangalore
112,335982,1,5,2,SC Ganguly,BB McCullum,Z Khan,0,0,0,0,1,caught,SC Ganguly,JH Kallis,,Kolkata Knight Riders,Royal Challengers Bangalore
132,335982,2,7,5,MV Boucher,CL White,SC Ganguly,0,0,0,0,1,caught,MV Boucher,M Kartik,,Royal Challengers Bangalore,Kolkata Knight Riders
135,335982,2,8,2,B Akhil,CL White,AB Agarkar,0,0,0,0,1,caught,B Akhil,RT Ponting,,Royal Challengers Bangalore,Kolkata Knight Riders
141,335982,2,8,8,CL White,AA Noffke,AB Agarkar,0,0,0,0,1,caught,CL White,WP Saha,,Royal Challengers Bangalore,Kolkata Knight Riders
168,335982,2,13,1,Z Khan,P Kumar,SC Ganguly,0,0,0,0,1,bowled,Z Khan,,,Royal Challengers Bangalore,Kolkata Knight Riders
182,335982,2,15,2,SB Joshi,P Kumar,LR Shukla,0,0,0,0,1,caught,SB Joshi,BB McCullum,,Royal Challengers Bangalore,Kolkata Knight Riders
193,335982,2,4,5,JH Kallis,W Jaffer,AB Agarkar,0,0,0,0,1,caught,JH Kallis,M Kartik,,Royal Challengers Bangalore,Kolkata Knight Riders
196,335982,2,5,2,W Jaffer,CL White,AB Dinda,0,0,0,0,1,caught,W Jaffer,RT Ponting,,Royal Challengers Bangalore,Kolkata Knight Riders
210,335982,2,1,1,R Dravid,W Jaffer,I Sharma,0,0,0,0,1,bowled,R Dravid,,,Royal Challengers Bangalore,Kolkata Knight Riders
217,335982,2,2,2,V Kohli,W Jaffer,AB Dinda,0,0,0,0,1,bowled,V Kohli,,,Royal Challengers Bangalore,Kolkata Knight Riders
257,335983,1,12,2,SK Raina,MEK Hussey,WA Mota,0,0,0,0,1,caught,SK Raina,IK Pathan,,Chennai Super Kings,Kings XI Punjab
278,335983,1,15,3,JDP Oram,MEK Hussey,IK Pathan,0,0,0,0,1,bowled,JDP Oram,,,Chennai Super Kings,Kings XI Punjab
321,335983,1,2,5,PA Patel,ML Hayden,B Lee,0,0,0,0,1,caught,PA Patel,KC Sangakkara,,Chennai Super Kings,Kings XI Punjab
343,335983,1,6,2,ML Hayden,MEK Hussey,IK Pathan,0,0,0,0,1,bowled,ML Hayden,,,Chennai Super Kings,Kings XI Punjab
348,335983,1,7,1,MS Dhoni,MEK Hussey,JR Hopes,0,0,0,0,1,lbw,MS Dhoni,,,Chennai Super Kings,Kings XI Punjab
371,335983,2,10,2,JR Hopes,KC Sangakkara,P Amarnath,0,0,0,0,1,caught,JR Hopes,Joginder Sharma,,Kings XI Punjab,Chennai Super Kings
396,335983,2,14,2,Yuvraj Singh,KC Sangakkara,Joginder Sharma,0,0,0,0,1,caught,Yuvraj Singh,P Amarnath,,Kings XI Punjab,Chennai Super Kings
416,335983,2,17,4,KC Sangakkara,SM Katich,M Muralitharan,0,0,0,0,1,caught,KC Sangakkara,Joginder Sharma,,Kings XI Punjab,Chennai Super Kings
463,335983,2,5,6,K Goel,JR Hopes,MS Gony,0,0,0,0,1,caught,K Goel,PA Patel,,Kings XI Punjab,Chennai Super Kings
535,335984,1,17,1,SK Warne,D Salunkhe,MF Maharoof,0,0,0,0,1,bowled,SK Warne,,,Rajasthan Royals,Delhi Daredevils
